year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
2013,12.5,6.6,10.3,6.1,12.5,8.4,7.3,7.9,8.7,18.9,11.6,14.6,36.9,28.9,23.7,39.2,125.5
2014,23.5,17,10.6,9.4,15.9,9.2,7.6,15,3.3,15.6,15.8,10.6,55.1,35.9,31.8,34.6,153.4
2015,15.4,8.3,10.1,6.6,13,6.1,12.7,11.3,8.6,8.2,18.9,19.4,34.3,29.8,30.2,35.7,138.8
2016,17.9,10.1,10.1,15.4,9.9,15.3,8.1,10,10.8,6.1,10.7,7.2,47.4,35.4,33.3,27.6,131.6
2017,11.4,12.4,12.2,4.5,10.4,9.6,12.9,11.4,17.9,7.3,10.5,14.9,31,27.1,33.9,35.7,135.3
2018,17,9.7,17.9,12.7,8,2.3,5.2,8.9,8.4,8,10.9,15.2,41.6,38.7,16.4,27.4,124.4
2019,7.6,7.8,13.1,7,9,14.2,9.1,11.3,13.1,17,19.5,15.3,30.6,29,34.6,49.5,143.8
2020,10.2,19.8,9.3,5.6,1.8,14.9,11.5,13,6.2,18.5,12.5,18.8,45.3,16.6,39.4,37.1,142
2021,16.3,12.1,8.5,3.1,17.2,6.7,12.1,8.1,8.5,12.7,6.3,15.8,47.2,28.8,26.9,27.4,127.2
2022,7.3,14.7,7.4,5.7,12.2,8,5.9,4.6,11.3,16.3,16.4,12.1,37.8,25.3,18.5,44,121.9
2023,12.3,3.5,20.4,12.6,7.5,6.9,16.5,12.3,12,15.1,14.4,20.2,27.9,40.5,35.7,41.4,153.5
2024,8.9,14.7,17.2,15,11.5,6.9,9.5,8,14.2,12.7,9,12.5,43.8,43.8,24.4,36,140.3
2025,10,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,NA,NA,NA,NA
